GENESIS-Tabelle: 32151-0004
Erzeuger von primär nachgewiesenen Abfallmengen,;;;;
Abgegebene Abfallmenge an Entsorger (gefährliche Abfälle):;;;;
Deutschland, Jahre (bis 2008);;;;
Erhebung der gefährlichen Abfälle;;;;
Deutschland;;;;
;Erzeuger von primär nachgewiesenen Abfallmengen;Abgegebene Abfallmenge an Entsorger;Abgegebene Abfallmenge an Entsorger;Abgegebene Abfallmenge an Entsorger
;;im eigenen Bundesland;in anderen Bundesländern;Insgesamt
;Anzahl;t;t;t
2005;24547;12099252;5802897;17902148
2006;24682;11564763;5531623;17096385
2007;24704;11431408;5235114;16666523
2008;24849;11456907;5912390;17369297
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 30.08.2023 / 20:24:42
