landuse,type,id,lat,lon,name,wikidata,description,note,barrier,natural,abandoned,man_made,operator,resource,fixme,wikimedia_commons,access,landfill,website,waterway,disused,owner,ISO3166-2,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,admin_level,alt_name:ca,alt_name:cs,border_type,boundary,de:amtlicher_gemeindeschluessel,de:regionalschluessel,name:ar,name:ca,name:cs,name:en,name:eo,name:es,name:fa,name:fr,name:hsb,name:hu,name:lt,name:mk,name:pl,name:prefix,name:pt,name:ru,name:sk,name:sl,name:sr,name:th,name:uk,name:ur,name:vo,name:zh,ref,ref:nuts:1,ref:nuts:2,source,wikipedia,bicycle,foot
,node,521097183,49.3854767,6.6280965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,521097205,49.3856341,6.628475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,958456241,49.3850332,6.6290801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,958457067,49.3856635,6.6291458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,958457382,49.385342,6.6290801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,3263351418,49.3849031,6.6275388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,971990866,49.4370112,6.5708823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,971990843,49.4369092,6.5774605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,971990921,49.4369893,6.5740762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,971990965,49.4366978,6.5764071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,971990835,49.4373683,6.5707478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,971990912,49.4371059,6.5719469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,971990930,49.4381763,6.5724091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,971990952,49.4377224,6.5707152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,node,2077906848,49.4370985,6.5708494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
