Year,EAV Code,Waste Quantities Produced by Primary Producers,Unknown Value 1,Metric Tons (1000)
2008,EAV-01,23,131,0
2008,EAV-02,71,0,6
2008,EAV-03,22,0,3
2008,EAV-04,16,0,2
2008,EAV-05,202,84,6
2008,EAV-06,1152,291,7
2008,EAV-07,2129,891,6
2008,EAV-08,1770,158,0
2008,EAV-09,235,37,1
2008,EAV-10,664,698,9
2008,EAV-11,2579,600,3
2008,EAV-12,3980,784,2
2008,EAV-13,4666,1211,6
2008,EAV-14,867,80,5
2008,EAV-15,2898,190,2
2008,EAV-16,3145,679,4
2008,EAV-17,13200,8920,1
2008,EAV-18,192,12,6
2008,EAV-19,1803,2512,2
2008,EAV-20,810,84,2
2008,,26249,17369,3
2009,EAV-01,21,138,9
2009,EAV-02,73,1,2
2009,EAV-03,25,0,3
2009,EAV-04,16,0,2
2009,EAV-05,182,55,3
2009,EAV-06,1117,348,8
2009,EAV-07,2102,843,7
2009,EAV-08,1688,141,7
2009,EAV-09,237,31,4
2009,EAV-10,675,609,9
2009,EAV-11,2496,457,5
2009,EAV-12,3967,613,0
2009,EAV-13,4540,1138,2
2009,EAV-14,857,73,0
2009,EAV-15,2852,165,5
2009,EAV-16,3144,722,3
2009,EAV-17,13490,8018,3
2009,EAV-18,215,13,7
2009,EAV-19,1798,2475,1
2009,EAV-20,784,96,4
2009,,26321,15944,5
2010,EAV-01,30,29,2
2010,EAV-02,64,1,0
2010,EAV-03,21,0,4
2010,EAV-04,9,0,2
2010,EAV-05,157,76,1
2010,EAV-06,1013,370,9
2010,EAV-07,1794,1062,2
2010,EAV-08,1420,160,0
2010,EAV-09,205,28,3
2010,EAV-10,663,758,5
2010,EAV-11,2122,589,6
2010,EAV-12,3629,806,7
2010,EAV-13,3692,1171,5
2010,EAV-14,767,94,5
2010,EAV-15,2637,195,7
2010,EAV-16,2779,760,2
2010,EAV-17,11186,7869,0
2010,EAV-18,192,16,8
2010,EAV-19,1649,3022,0
2010,EAV-20,698,95,5
2010,,23774,15029,5
2011,EAV-01,30,29,2
2011,EAV-02,64,1,0
2011,EAV-03,21,0,4
2011,EAV-04,9,0,2
2011,EAV-05,157,76,1
2011,EAV-06,1013,370,9
2011,EAV-07,1794,1062,2
2011,EAV-08,1420,160,0
2011,EAV-09,205,28,3
2011,EAV-10,663,758,5
2011,EAV-11,2122,589,6
2011,EAV-12,3629,806,7
2011,EAV-13,3692,1171,5
2011,EAV-14,767,94,5
2011,EAV-15,2637,195,7
2011,EAV-16,2779,760,2
2011,EAV-17,11186,7869,0
2011,EAV-18,192,16,8
2011,EAV-19,1649,3022,0
