GENESIS-Tabelle: 32111-0003
Abfallentsorgung: Deutschland, Jahre, Anlagenart;;;;;;;;;;;;
Erhebung der Abfallentsorgung;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;
;;Abfallentsorgungsanlagen;Input von Abfallentsorgungsanlagen;Im eigenen Betrieb erzeugte Abfälle;Aus dem Inland angelieferter Abfall;Aus dem Ausland angelieferter Abfall;Abfallentsorgungsanlagen mit Output;Output von Abfallentsorgungsanlagen;Abfälle zur Beseitigung;Abfälle zur Verwertung;Abfälle zu vorbereitenden Verfahren;Abgabe an Sonstige
2006;Naturbelassene Stoffe im Bergbau;24;41953,5;41953,5;-;-;-;-;-;-;-;-
2006;Abfälle in untertägigen Abbaustätten;26;2473,1;-;2152,3;320,8;-;-;-;-;-;-
2006;Abfälle in übertägigen Abbaustätten;3084;87506,6;-;86619,6;887,0;-;-;-;-;-;-
2007;Deponien;1706;43161,2;11361,6;31042,6;756,9;x;3847,3;2621,8;599,5;-;626,0
2007;  Deponien der Klasse 0;1200;14478,4;2315,2;12163,2;-;x;280,4;161,5;21,6;-;97,2
2007;  Deponien der Klasse I;264;17456,2;7721,6;9612,9;121,6;x;1049,4;663,3;115,3;-;270,8
2007;  Deponien der Klasse II;192;7953,5;393,0;7210,5;350,0;x;2022,4;1490,5;444,8;-;87,2
2007;  Deponien der Klasse III;40;3141,7;931,4;1998,3;212,0;x;478,9;306,5;1,6;-;170,8
2007;  Deponien der Klasse IV;5;112,9;0,4;39,2;73,3;-;-;-;-;-;-
2007;  Langzeitlager;5;18,5;-;18,5;-;x;16,2;-;16,2;-;-
2007;Thermische Abfallbehandlungsanlagen;157;22118,4;1719,4;19942,7;456,2;x;5977,5;598,9;5200,9;-;177,7
2007;  Abfallverbrennungsanlagen;91;18624,0;381,4;18011,8;230,9;x;5325,3;289,4;4865,9;-;170,1
2007;  Klärschlammverbrennungsanlagen;20;1888,9;834,0;1026,7;28,2;x;269,7;76,1;193,6;-;-
2007;  Sonderabfallverbrennungsanlagen;32;1206,1;490,0;546,2;169,9;x;291,4;216,7;74,7;-;0,0
2007;  Sonstige Anlagen zur thermischen Abfallbehandlung;14;399,4;14,0;358,1;27,3;x;91,1;16,8;66,7;-;7,6
2007;Feuerungsanlagen;589;13607,1;2912,4;9942,7;752,0;x;1296,9;239,9;739,0;-;318,0
2007;  Kraftwerke/Heizkraftwerke;214;8236,3;1630,4;6079,7;526,2;x;1069,8;189,5;645,3;-;235,1
2007;  Sonstige Feuerungsanlagen;375;5370,8;1282,0;3863,0;225,8;x;227,0;50,4;93,7;-;82,9
2007;  Ersatzbrennstoffkraftwerke;-;-;-;-;-;-;-;-;-;-;-
2007;  Biomassekraftwerke;-;-;-;-;-;-;-;-;-;-;-
2007;  Andere Kraftwerke;-;-;-;-;-;-;-;-;-;-;-
2007;  Heizwerke;-;-;-;-;-;-;-;-;-;-;-
2007;  Anlagen für andere Produktionszwecke;-;-;-;-;-;-;-;-;-;-;-
2007;Chemisch-physikalische Behandlungsanlagen;577;10434,2;5515,6;4664,0;254,7;x;3702,9;805,9;1957,2;-;939,7
2007;  Regenerieren von Säuren und Basen, Lösemitteln;60;921,8;767,2;151,4;3,2;x;132,0;13,2;59,4;-;59,3
2007;  Rückgewinnung von Metallen, Lösemitteln usw.;87;727,7;41,1;618,9;67,7;x;583,4;24,0;227,1;-;332,3
2007;  Volumenreduzierung und Wasserabscheidung;157;4338,5;2917,0;1417,9;3,6;x;1076,5;253,7;809,1;-;13,8
2007;  Sonstige Anlagen;273;4446,2;1790,2;2475,8;180,2;x;1911,1;515,1;861,7;-;534,3
2007;Bodenbehandlungsanlagen;120;4091,8;1,9;3653,8;436,1;x;4058,3;613,5;2934,6;-;510,2
2007;Biologische Behandlungsanlagen;1793;13233,9;601,2;12428,6;204,2;x;9105,2;148,0;938,7;-;8018,5
2007;  Bioabfallkompostierungsanlagen (verm. Bioabfälle);316;4862,4;27,1;4831,2;4,1;314;2626,2;81,4;357,2;-;2187,6
2007;  Grünabfallkompostierungsanlagen (überw. Grünabf.);663;3079,1;77,2;2987,4;14,5;657;2010,4;21,3;211,3;-;1777,8
2007;  Kombinierte Kompostierungs- und Vergärungsanlagen;698;3904,9;462,7;3289,1;153,1;697;3526,1;39,8;261,4;-;3224,8
2007;  Klärschlammkompostierungsanlagen;102;1052,7;34,1;987,1;31,4;102;757,1;5,0;52,8;-;699,3
2007;  Sonstige biologische Behandlungsanlagen;14;334,8;-;333,7;1,1;14;185,3;0,4;56,1;-;128,9
2007;  Biogas- und Vergärungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2007;Mechanisch-biologische Abfallbehandlungsanlagen;50;3748,1;29,0;3653,8;65,3;x;3097,7;1508,0;1475,1;-;114,7
2007;Demontagebetriebe für Altfahrzeuge;1263;454,3;-;452,1;2,2;x;437,1;2,9;395,4;-;38,9
2007;Schredderanlagen und Schrottscheren;558;13124,9;150,5;12281,8;692,6;x;12835,0;390,3;4858,5;-;7586,2
2007;Sortieranlagen;958;25325,9;72,3;24838,0;415,6;x;24610,0;1615,8;13088,5;-;9905,7
2007;Zerlegeeinrichtungen;301;682,7;16,0;618,2;48,5;x;667,1;20,7;515,1;-;131,3
2007;Sonstige Behandlungsanlagen;478;19431,7;601,2;17531,1;1299,4;x;18339,8;1595,2;7055,6;-;9689,0
2007;  Sonstige Behandlungsanlagen;471;19025,1;601,0;17209,3;1214,9;x;17971,3;1592,1;6991,8;-;9387,3
2007;  Anlagen zur stofflichen Verwertung von Altöl;7;406,6;0,2;321,8;84,5;x;368,5;3,1;63,8;-;301,7
2007;  Klärschlammfaulbehälter mit CO-Vergärung;-;-;-;-;-;-;-;-;-;-;-
2007;Naturbelassene Stoffe im Bergbau;22;42890,6;42890,6;-;-;-;-;-;-;-;-
2007;Abfälle in untertägigen Abbaustätten;25;2415,5;-;2070,8;344,7;-;-;-;-;-;-
2007;Abfälle in übertägigen Abbaustätten;2981;90842,1;-;89681,4;1160,7;-;-;-;-;-;-
2008;Deponien;1645;41598,6;10435,3;30101,5;1061,7;x;3450,2;2674,6;436,8;-;338,8
2008;  Deponien der Klasse 0;818;13373,1;2578,2;10776,2;18,8;x;210,6;175,4;3,5;-;31,7
2008;  Deponien der Klasse I;164;11028,0;5113,5;5618,8;295,8;x;723,8;548,3;56,1;-;119,4
2008;  Deponien der Klasse II;165;7205,3;525,7;6330,0;349,6;x;2165,3;1770,5;344,8;-;50,0
2008;  Deponien der Klasse III;32;2319,2;761,9;1368,3;189,0;x;128,6;103,4;10,5;-;14,7
2008;  Deponien der Klasse IV;4;111,9;0,1;59,6;52,1;-;-;-;-;-;-
2008;  Langzeitlager;3;-;-;-;-;x;16,2;-;16,2;-;-
2008;Thermische Abfallbehandlungsanlagen;158;23116,6;1424,4;20935,2;757,0;x;6342,5;635,9;5297,8;-;408,8
2008;  Abfallverbrennungsanlagen;94;20558,4;243,8;19723,7;590,9;x;6168,3;298,3;5715,2;-;154,8
2008;  Klärschlammverbrennungsanlagen;21;1963,4;898,8;1017,3;47,3;x;222,8;23,6;198,5;-;0,7
2008;  Sonderabfallverbrennungsanlagen;35;1399,2;470,3;667,4;261,5;x;320,8;248,5;71,8;-;0,5
2008;  Sonstige Anlagen zur thermischen Abfallbehandlung;14;420,5;21,3;346,7;52,6;x;102,5;29,8;62,3;-;10,4
2008;Feuerungsanlagen;632;14044,8;3313,4;10079,5;651,8;x;1288,2;259,9;797,9;-;230,5
2008;  Kraftwerke/Heizkraftwerke;338;12649,6;2216,9;9724,6;708,1;x;2149,3;395,4;1620,1;-;133,7
2008;  Sonstige Feuerungsanlagen;317;4748,6;1198,9;3442,0;107,7;x;141,3;21,2;89,4;-;30,8
2008;  Ersatzbrennstoffkraftwerke;-;-;-;-;-;-;-;-;-;-;-
2008;  Biomassekraftwerke;-;-;-;-;-;-;-;-;-;-;-
2008;  Andere Kraftwerke;-;-;-;-;-;-;-;-;-;-;-
2008;  Heizwerke;-;-;-;-;-;-;-;-;-;-;-
2008;  Anlagen für andere Produktionszwecke;-;-;-;-;-;-;-;-;-;-;-
2008;Chemisch-physikalische Behandlungsanlagen;564;9198,1;4429,9;4522,1;246,1;x;3642,7;772,3;2100,3;-;770,1
2008;  Regenerieren von Säuren und Basen, Lösemitteln;60;537,1;312,8;184,1;40,3;x;129,8;22,5;54,7;-;52,6
2008;  Rückgewinnung von Metallen, Lösemitteln usw.;74;507,1;52,4;394,1;60,7;x;355,4;29,6;87,4;-;238,5
2008;  Volumenreduzierung und Wasserabscheidung;160;3328,0;2663,3;658,1;6,7;x;868,5;173,1;688,5;-;7,0
2008;  Sonstige Anlagen;248;4593,7;1672,9;2653,6;267,2;x;2201,3;413,6;1388,0;-;399,7
2008;Bodenbehandlungsanlagen;120;4400,2;76,5;3845,6;478,1;x;4371,5;572,1;3082,7;-;716,8
2008;Biologische Behandlungsanlagen;2041;13043,9;822,9;12021,5;199,5;x;9129,3;152,4;885,8;-;8091,1
2008;  Bioabfallkompostierungsanlagen (verm. Bioabfälle);252;4105,8;26,9;4074,5;4,4;x;2264,2;79,0;297,7;-;1887,4
2008;  Grünabfallkompostierungsanlagen (überw. Grünabf.);672;3317,0;136,9;3130,2;49,9;x;2205,3;19,6;232,5;-;1953,3
2008;  Kombinierte Kompostierungs- und Vergärungsanlagen;992;4307,8;457,0;3723,0;127,8;x;3728,3;48,7;152,1;-;3527,6
2008;  Klärschlammkompostierungsanlagen;98;975,7;41,8;918,8;15,1;x;624,3;15,6;42,2;-;566,4
2008;  Sonstige biologische Behandlungsanlagen;22;301,0;7,9;284,5;8,5;x;221,0;61,7;72,9;-;86,3
2008;  Biogas- und Vergärungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2008;Mechanisch-biologische Abfallbehandlungsanlagen;51;3957,8;28,0;3846,5;83,3;x;3117,0;1313,3;1601,7;-;202,0
2008;Demontagebetriebe für Altfahrzeuge;1249;412,8;-;410,3;2,5;x;391,8;5,6;358,3;-;27,9
2008;Schredderanlagen und Schrottscheren;595;13476,7;124,7;12674,8;677,3;x;13659,8;396,2;6005,6;-;7258,0
2008;Sortieranlagen;995;25857,8;71,6;25252,5;533,7;x;24862,0;1349,9;13834,9;-;9677,2
2008;Zerlegeeinrichtungen;307;695,7;16,5;632,7;46,5;x;670,2;48,9;519,7;-;101,7
2008;Sonstige Behandlungsanlagen;489;18710,1;721,4;16584,0;1404,7;x;18233,8;1508,4;7933,3;-;8792,1
2008;  Sonstige Behandlungsanlagen;608;20840,6;821,2;18707,1;1312,1;x;19774,1;1583,7;8959,8;-;9230,6
2008;  Anlagen zur stofflichen Verwertung von Altöl;7;482,6;0,2;363,8;118,7;x;499,0;11,9;18,2;-;468,9
2008;  Klärschlammfaulbehälter mit CO-Vergärung;-;-;-;-;-;-;-;-;-;-;-
2008;Naturbelassene Stoffe im Bergbau;22;39294,6;39294,6;-;-;-;-;-;-;-;-
2008;Abfälle in untertägigen Abbaustätten;30;2622,7;-;2227,2;395,5;-;-;-;-;-;-
2008;Abfälle in übertägigen Abbaustätten;3055;86716,4;-;85579,7;1136,7;-;-;-;-;-;-
2009;Deponien;1553;35441,8;8851,9;25676,7;913,2;x;4227,1;3522,2;442,3;-;262,6
2009;  Deponien der Klasse 0;1111;13763,0;1942,3;11787,4;33,3;x;577,7;446,4;49,2;-;82,1
2009;  Deponien der Klasse I;219;13019,9;5999,7;6850,6;169,6;x;1433,0;1280,6;51,3;-;101,1
2009;  Deponien der Klasse II;183;6301,8;314,6;5667,7;319,6;x;1845,6;1634,4;157,8;-;53,4
2009;  Deponien der Klasse III;33;2247,9;595,3;1334,8;317,9;x;341,0;160,9;154,2;-;25,9
2009;  Deponien der Klasse IV;4;107,1;0,1;34,1;72,8;-;-;-;-;-;-
2009;  Langzeitlager;3;2,0;-;2,0;-;x;29,9;0,0;29,9;-;0,0
2009;Thermische Abfallbehandlungsanlagen;160;23512,8;1258,5;21356,8;897,5;x;6545,1;771,4;5409,1;-;364,7
2009;  Abfallverbrennungsanlagen;91;19833,3;210,4;19009,9;613,0;x;5854,3;412,9;5085,6;-;355,7
2009;  Klärschlammverbrennungsanlagen;20;1887,2;623,9;1221,5;41,9;x;273,9;83,5;190,4;-;-
2009;  Sonderabfallverbrennungsanlagen;34;1227,0;419,6;606,2;201,3;x;299,6;243,5;55,9;-;0,2
2009;  Sonstige Anlagen zur thermischen Abfallbehandlung;15;565,2;4,7;519,3;41,2;x;117,4;31,5;77,2;-;8,8
2009;Feuerungsanlagen;633;14872,4;2837,9;11265,3;769,3;x;1722,7;296,7;1216,7;-;209,3
2009;  Kraftwerke/Heizkraftwerke;297;10668,6;1724,9;8264,7;679,0;x;1623,7;274,6;1151,3;-;197,7
2009;  Sonstige Feuerungsanlagen;336;4203,8;1113,0;3000,5;90,3;x;99,0;22,1;65,4;-;11,5
2009;  Ersatzbrennstoffkraftwerke;-;-;-;-;-;-;-;-;-;-;-
2009;  Biomassekraftwerke;-;-;-;-;-;-;-;-;-;-;-
2009;  Andere Kraftwerke;-;-;-;-;-;-;-;-;-;-;-
2009;  Heizwerke;-;-;-;-;-;-;-;-;-;-;-
2009;  Anlagen für andere Produktionszwecke;-;-;-;-;-;-;-;-;-;-;-
2009;Chemisch-physikalische Behandlungsanlagen;550;8021,6;3904,4;3888,1;229,1;x;3532,9;897,1;2020,4;-;615,4
2009;  Regenerieren von Säuren und Basen, Lösemitteln;52;384,3;256,6;125,8;1,9;x;98,6;10,8;41,6;-;46,1
2009;  Rückgewinnung von Metallen, Lösemitteln usw.;75;413,0;41,5;313,8;57,7;x;317,3;17,0;92,4;-;207,8
2009;  Volumenreduzierung und Wasserabscheidung;165;3238,4;2097,9;1136,0;4,5;x;973,3;507,5;457,3;-;8,5
2009;  Sonstige Anlagen;258;3985,9;1508,4;2312,5;165,0;x;2143,8;361,8;1429,0;-;353,0
2009;Bodenbehandlungsanlagen;120;3518,7;11,7;3387,8;119,2;x;3611,3;470,5;2431,9;-;708,9
2009;Biologische Behandlungsanlagen;2047;13198,1;645,7;12351,4;200,9;x;9137,8;184,3;845,5;-;8108,0
2009;  Bioabfallkompostierungsanlagen (verm. Bioabfälle);277;4671,4;30,6;4631,9;8,8;x;2573,5;108,6;360,8;-;2104,1
2009;  Grünabfallkompostierungsanlagen (überw. Grünabf.);672;3073,6;72,7;2984,1;16,7;x;2046,6;16,2;184,0;-;1846,4
2009;  Kombinierte Kompostierungs- und Vergärungsanlagen;987;4338,6;503,2;3684,3;151,2;x;3759,2;40,4;206,1;-;3512,7
2009;  Klärschlammkompostierungsanlagen;93;851,9;36,2;803,4;12,3;x;555,8;1,5;23,1;-;531,2
2009;  Sonstige biologische Behandlungsanlagen;18;262,6;3,0;247,6;12,0;x;202,7;17,6;71,5;-;113,6
2009;  Biogas- und Vergärungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2009;Mechanisch-biologische Abfallbehandlungsanlagen;55;4042,7;24,9;4015,4;2,4;x;3295,9;1260,9;1946,6;-;88,4
2009;Demontagebetriebe für Altfahrzeuge;1321;1641,0;-;1635,9;5,1;x;1104,7;5,7;1030,2;-;68,8
2009;Schredderanlagen und Schrottscheren;609;12946,6;115,5;12234,0;597,1;x;13007,6;291,7;6177,6;-;6538,3
2009;Sortieranlagen;996;24316,6;30,4;23828,5;457,7;x;24079,4;1269,3;13049,2;-;9761,7
2009;Zerlegeeinrichtungen;304;807,2;0,9;775,4;30,9;x;804,1;14,1;658,3;-;131,8
2009;Sonstige Behandlungsanlagen;528;18728,4;690,0;16686,9;1351,4;x;18000,5;1320,3;8748,8;-;7931,4
2009;  Sonstige Behandlungsanlagen;521;18288,1;689,8;16355,3;1243,0;x;17543,9;1313,7;8719,1;-;7511,1
2009;  Anlagen zur stofflichen Verwertung von Altöl;7;440,3;0,1;331,7;108,4;x;456,6;6,6;29,7;-;420,3
2009;  Klärschlammfaulbehälter mit CO-Vergärung;-;-;-;-;-;-;-;-;-;-;-
2009;Naturbelassene Stoffe im Bergbau;19;25963,6;25963,6;-;-;-;-;-;-;-;-
2009;Abfälle in untertägigen Abbaustätten;30;2522,0;-;2105,9;416,2;-;-;-;-;-;-
2009;Abfälle in übertägigen Abbaustätten;2965;85264,6;-;83944,5;1320,1;-;-;-;-;-;-
2010;Deponien;1186;34037,5;8979,4;24152,8;905,2;x;3244,5;2597,6;431,0;-;215,8
2010;  Deponien der Klasse 0;818;13373,1;2578,2;10776,2;18,8;x;210,6;175,4;3,5;-;31,7
2010;  Deponien der Klasse I;164;11028,0;5113,5;5618,8;295,8;x;723,8;548,3;56,1;-;119,4
2010;  Deponien der Klasse II;165;7205,3;525,7;6330,0;349,6;x;2165,3;1770,5;344,8;-;50,0
2010;  Deponien der Klasse III;32;2319,2;761,9;1368,3;189,0;x;121,7;103,4;10,5;-;7,8
2010;  Deponien der Klasse IV;4;111,9;0,1;59,6;52,1;x;.;.;.;-;.
2010;  Langzeitlager;3;-;-;-;-;x;.;.;.;-;.
2010;Thermische Abfallbehandlungsanlagen;164;24341,6;1634,1;21755,1;952,3;x;6814,5;600,3;6047,8;-;166,4
2010;  Abfallverbrennungsanlagen;94;20558,4;243,8;19723,7;590,9;x;6168,3;298,3;5715,2;-;154,8
2010;  Klärschlammverbrennungsanlagen;21;1963,4;898,8;1017,3;47,3;x;222,8;23,6;198,5;-;0,7
2010;  Sonderabfallverbrennungsanlagen;35;1399,2;470,3;667,4;261,5;x;320,8;248,5;71,8;-;0,5
2010;  Sonstige Anlagen zur thermischen Abfallbehandlung;14;420,5;21,3;346,7;52,6;x;102,5;29,8;62,3;-;10,4
2010;Feuerungsanlagen;655;17398,2;3415,8;13166,6;815,8;x;2290,7;416,6;1709,5;-;164,5
2010;  Kraftwerke/Heizkraftwerke;338;12649,6;2216,9;9724,6;708,1;x;2149,3;395,4;1620,1;-;133,7
2010;  Sonstige Feuerungsanlagen;317;4748,6;1198,9;3442,0;107,7;x;141,3;21,2;89,4;-;30,8
2010;  Ersatzbrennstoffkraftwerke;-;-;-;-;-;-;-;-;-;-;-
2010;  Biomassekraftwerke;-;-;-;-;-;-;-;-;-;-;-
2010;  Andere Kraftwerke;-;-;-;-;-;-;-;-;-;-;-
2010;  Heizwerke;-;-;-;-;-;-;-;-;-;-;-
2010;  Anlagen für andere Produktionszwecke;-;-;-;-;-;-;-;-;-;-;-
2010;Chemisch-physikalische Behandlungsanlagen;542;8966,0;4701,3;3889,9;374,8;x;3555,1;638,7;2218,7;-;697,7
2010;  Regenerieren von Säuren und Basen, Lösemitteln;60;537,1;312,8;184,1;40,3;x;129,8;22,5;54,7;-;52,6
2010;  Rückgewinnung von Metallen, Lösemitteln usw.;74;507,1;52,4;394,1;60,7;x;355,4;29,6;87,4;-;238,5
2010;  Volumenreduzierung und Wasserabscheidung;160;3328,0;2663,3;658,1;6,7;x;868,5;173,1;688,5;-;7,0
2010;  Sonstige Anlagen;248;4593,7;1672,9;2653,6;267,2;x;2201,3;413,6;1388,0;-;399,7
2010;Bodenbehandlungsanlagen;122;3496,6;14,6;3406,1;75,8;x;3611,0;301,7;2687,1;-;622,3
2010;Biologische Behandlungsanlagen;2036;13007,2;670,5;12131,0;205,7;x;9043,0;224,7;797,4;-;8021,0
2010;  Bioabfallkompostierungsanlagen (verm. Bioabfälle);252;4105,8;26,9;4074,5;4,4;x;2264,2;79,0;297,7;-;1887,4
2010;  Grünabfallkompostierungsanlagen (überw. Grünabf.);672;3317,0;136,9;3130,2;49,9;x;2205,3;19,6;232,5;-;1953,3
2010;  Kombinierte Kompostierungs- und Vergärungsanlagen;992;4307,8;457,0;3723,0;127,8;x;3728,3;48,7;152,1;-;3527,6
2010;  Klärschlammkompostierungsanlagen;98;975,7;41,8;918,8;15,1;x;624,3;15,6;42,2;-;566,4
2010;  Sonstige biologische Behandlungsanlagen;22;301,0;7,9;284,5;8,5;x;221,0;61,7;72,9;-;86,3
2010;  Biogas- und Vergärungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2010;Mechanisch-biologische Abfallbehandlungsanlagen;56;4153,8;124,7;4023,7;5,5;x;3396,9;1182,7;2128,1;-;86,1
2010;Demontagebetriebe für Altfahrzeuge;1344;527,6;-;524,5;3,1;x;697,3;3,4;649,3;-;44,6
2010;Schredderanlagen und Schrottscheren;646;14255,9;284,9;13119,1;851,9;x;14502,3;297,4;6896,5;-;7308,4
2010;Sortieranlagen;1040;24058,6;398,3;23195,3;465,1;x;23815,2;1125,2;13228,2;-;9461,9
2010;Zerlegeeinrichtungen;322;816,7;6,3;797,4;13,0;x;780,4;20,7;651,1;-;108,5
2010;Sonstige Behandlungsanlagen;615;21323,2;821,4;19070,9;1430,8;x;20273,1;1595,6;8978,0;-;9699,5
2010;  Sonstige Behandlungsanlagen;608;20840,6;821,2;18707,1;1312,1;x;19774,1;1583,7;8959,8;-;9230,6
2010;  Anlagen zur stofflichen Verwertung von Altöl;7;482,6;0,2;363,8;118,7;x;499,0;11,9;18,2;-;468,9
2010;  Klärschlammfaulbehälter mit CO-Vergärung;-;-;-;-;-;-;-;-;-;-;-
2010;Naturbelassene Stoffe im Bergbau;20;34984,8;34984,8;-;-;-;-;-;-;-;-
2010;Abfälle in untertägigen Abbaustätten;30;2703,7;-;2232,5;471,2;-;-;-;-;-;-
2010;Abfälle in übertägigen Abbaustätten;2972;88551,1;-;87228,1;1322,9;-;-;-;-;-;-
2011;Deponien;1180;36898,7;10978,0;25055,0;865,8;x;2974,7;2307,5;436,7;-;230,6
2011;  Deponien der Klasse 0;818;14045,5;3076,6;10968,9;-;x;156,3;108,8;8,0;-;39,6
2011;  Deponien der Klasse I;166;12451,4;6494,1;5716,8;240,5;x;780,0;553,7;101,3;-;125,0
2011;  Deponien der Klasse II;158;7579,0;577,9;6652,2;348,8;x;1849,9;1468,7;325,9;-;55,4
2011;  Deponien der Klasse III;31;2651,7;829,1;1605,5;217,1;x;183,5;176,4;0,0;-;7,1
2011;  Deponien der Klasse IV;4;171,1;0,1;111,6;59,3;x;.;-;.;-;.
2011;  Langzeitlager;3;-;-;-;-;x;.;-;.;-;.
