GENESIS-Tabelle: 32111-0003
Abfallentsorgung: Deutschland, Jahre, Anlagenart;;;;;;;;;;;;
Erhebung der Abfallentsorgung;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;
;;Abfallentsorgungsanlagen;Input von Abfallentsorgungsanlagen;Im eigenen Betrieb erzeugte Abfälle;Aus dem Inland angelieferter Abfall;Aus dem Ausland angelieferter Abfall;Abfallentsorgungsanlagen mit Output;Output von Abfallentsorgungsanlagen;Abfälle zur Beseitigung;Abfälle zur Verwertung;Abfälle zu vorbereitenden Verfahren;Abgabe an Sonstige
;;Anzahl;1000 t;1000 t;1000 t;1000 t;Anzahl;1000 t;1000 t;1000 t;1000 t;1000 t
2006;Deponien;1740;38727,1;9636,7;28635,8;454,6;x;3752,6;2784,2;683,8;-;284,5
2006;  Deponien der Klasse 0;1222;13337,2;1664,5;11672,7;-;x;394,0;146,5;183,7;-;63,8
2006;  Deponien der Klasse I;272;15811,9;6612,5;9149,1;50,3;x;1258,8;995,7;133,2;-;129,9
2006;  Deponien der Klasse II;196;6691,2;394,1;6097,3;199,8;x;1608,4;1240,9;362,3;-;5,2
2006;  Deponien der Klasse III;40;2715,2;965,2;1618,6;131,4;x;481,4;401,1;0,0;-;80,2
2006;  Deponien der Klasse IV;5;118,3;0,3;44,9;73,1;x;6,6;-;1,2;-;5,4
2006;  Langzeitlager;5;53,3;-;53,3;-;-;-;-;-;-;-
2006;Thermische Abfallbehandlungsanlagen;153;21345,0;1570,4;19405,1;369,5;x;5999,5;583,3;5283,8;-;132,5
2006;  Abfallverbrennungsanlagen;90;18142,1;361,6;17652,9;127,6;x;5345,4;282,2;4936,4;-;126,8
2006;  Klärschlammverbrennungsanlagen;19;1669,2;833,0;777,7;58,5;x;246,0;38,8;205,9;-;1,3
2006;  Sonderabfallverbrennungsanlagen;31;1055,8;347,3;559,6;148,9;x;299,3;259,6;39,6;-;-
2006;  Sonstige Anlagen zur thermischen Abfallbehandlung;13;477,8;28,5;414,8;34,5;x;108,9;2,6;101,8;-;4,4
2006;Feuerungsanlagen;595;12330,5;3007,9;8790,3;532,3;x;1382,5;217,0;744,6;-;420,9
2006;  Kraftwerke/Heizkraftwerke;206;7395,8;1685,9;5388,9;321,0;x;1122,1;133,9;667,1;-;321,1
2006;  Sonstige Feuerungsanlagen;389;4934,8;1322,0;3401,4;211,3;x;260,4;83,1;77,5;-;99,8
2006;  Ersatzbrennstoffkraftwerke;-;-;-;-;-;-;-;-;-;-;-
2006;  Biomassekraftwerke;-;-;-;-;-;-;-;-;-;-;-
2006;  Andere Kraftwerke;-;-;-;-;-;-;-;-;-;-;-
2006;  Heizwerke;-;-;-;-;-;-;-;-;-;-;-
2006;  Anlagen für andere Produktionszwecke;-;-;-;-;-;-;-;-;-;-;-
2006;Chemisch-physikalische Behandlungsanlagen;599;9787,7;5239,4;4282,3;266,1;x;3458,1;945,1;1567,0;-;946,0
2006;  Regenerieren von Säuren und Basen, Lösemitteln;65;943,6;766,0;161,6;16,0;x;156,0;10,8;59,5;-;85,6
2006;  Rückgewinnung von Metallen, Lösemitteln usw.;85;816,5;125,4;571,7;119,5;x;579,3;27,2;128,8;-;423,3
2006;  Volumenreduzierung und Wasserabscheidung;184;3999,0;2566,8;1425,0;7,3;x;1056,7;525,8;514,3;-;16,6
2006;  Sonstige Anlagen;265;4028,6;1781,2;2124,0;123,3;x;1666,1;381,3;864,4;-;420,5
2006;Bodenbehandlungsanlagen;121;4180,9;2,5;3719,4;459,1;x;4044,9;554,6;3013,1;-;477,1
2006;Biologische Behandlungsanlagen;1742;12382,4;537,9;11693,4;151,1;x;8302,4;230,0;770,9;-;7301,5
2006;  Bioabfallkompostierungsanlagen (verm. Bioabfälle);325;4948,5;38,9;4895,3;14,3;x;2611,9;97,4;261,5;-;2253,0
2006;  Grünabfallkompostierungsanlagen (überw. Grünabf.);633;2628,3;80,4;2546,1;1,7;x;1633,0;14,1;147,7;-;1471,2
2006;  Kombinierte Kompostierungs- und Vergärungsanlagen;661;3422,8;406,5;2909,7;106,6;x;3117,2;111,6;223,1;-;2782,6
2006;  Klärschlammkompostierungsanlagen;107;1009,9;11,0;972,1;26,9;x;730,4;6,5;75,9;-;648,0
2006;  Sonstige biologische Behandlungsanlagen;16;372,9;1,1;370,3;1,6;x;209,8;0,5;62,7;-;146,6
2006;  Biogas- und Vergärungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2006;Mechanisch-biologische Abfallbehandlungsanlagen;45;3706,6;16,1;3690,0;0,5;x;2990,8;1430,0;1391,4;-;169,4
2006;Demontagebetriebe für Altfahrzeuge;1237;488,5;-;484,4;4,1;x;479,9;1,9;431,8;-;46,2
2006;Schredderanlagen und Schrottscheren;478;9728,2;60,4;9066,3;601,5;x;9545,8;375,9;4733,9;-;4435,9
2006;Sortieranlagen;905;23212,8;28,0;22878,0;306,8;x;23072,7;1539,1;11427,5;-;10106,1
2006;Zerlegeeinrichtungen;312;580,6;0,5;548,3;31,8;x;552,3;19,5;401,0;-;131,7
2006;Sonstige Behandlungsanlagen;471;18196,3;878,6;16429,8;887,9;x;16973,4;1167,1;5015,1;-;10791,2
2006;  Sonstige Behandlungsanlagen;464;17782,7;878,4;16087,5;816,9;x;16641,7;1164,0;4974,5;-;10503,2
2006;  Anlagen zur stofflichen Verwertung von Altöl;7;413,6;0,2;342,3;71,0;x;331,7;3,1;40,6;-;288,0
2006;  Klärschlammfaulbehälter mit CO-Vergärung;-;-;-;-;-;-;-;-;-;-;-
