GENESIS-Tabelle: 32111-0001
Abfallentsorgung: Deutschland, Jahre;;;;;
Erhebung der Abfallentsorgung;;;;;
Deutschland;;;;;
;Abfallentsorgungsanlagen;Input von Abfallentsorgungsanlagen;Im eigenen Betrieb erzeugte Abfälle;Aus dem Inland angelieferter Abfall;Aus dem Ausland angelieferter Abfall
;Anzahl;1000 t;1000 t;1000 t;1000 t
2017;14625;417337,7;56730,8;351899,4;8707,5
2018;14196;421391,0;54037,8;359142,8;8210,4
2019;13876;420258,0;50261,1;362098,7;7898,3
2020;13744;417093,4;49541,7;360038,3;7513,4
2021;13660;414740,6;50852,9;356110,4;7777,2
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 30.08.2023 / 19:41:26
