id,lat,lon,station,state,glass_related_recycling,electrical_related_recycling,metal_related_recycling,packaging_wastes,paper_wastes,plastic_wastes,organic_wastes,construction_wastes,hazardous/toxic,textiles
16257528,49.5504453,8.6658814,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
21480324,48.9973913,8.4081469,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
23699250,48.9844617,8.3979945,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
24454379,48.9814594,8.4078864,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
24465311,48.9776808,8.4140693,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,yes
24554425,48.9665268,8.4107102,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
24914190,48.9698629,8.4168925,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
24934427,48.9992954,8.4045405,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
24977411,47.9848053,7.8538497,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
25149959,47.9826479,7.8541644,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,yes
25182578,48.9844066,8.3962208,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,yes
25185809,48.9714818,8.4046408,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,yes
25187702,48.9659782,8.4043385,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,yes
25187858,48.9654117,8.4005886,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
25187973,48.9691521,8.4096256,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,yes
25236158,49.000053,8.4056791,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
25236163,48.9986919,8.3877657,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
25236164,48.9987659,8.3879484,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
25236920,47.9833812,7.8435605,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,yes
25236922,47.9782484,7.8416864,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,yes
25236938,47.9796202,7.8472319,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,yes
25236942,47.9814442,7.8493164,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,yes
25241974,49.0002643,8.3545801,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
25242034,49.0008061,8.3543851,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,yes
25242056,48.9972343,8.358992,recycling centres,Baden_Württemberg,no,no,no,no,no,no,no,no,no,no
