id,lat,lon,cans,clothes,shoes,waste,collection_times,composites,object:housenumber,object:suburb,waste,stones,mapping_status,author,service_times,TODO,check_date:existence,cooking_oil,others,asphalt,phone:mobile,cars,gas_bottles,beverage_cartons,source:geometry,shoes,fire_object:type,capacity,yard_waste,drugs,deposit_bottles,fee,opening_hours:lastcheck,removed:amenity,clothes,recycling,alles,office,container:count,container:ref,car_batteries,access:conditional,rental,note:recycling,belts,paint,contact:facebook,copper,iron,nickel,zinc,count,addr:district,addr:state,phones,wire,not:operator:wikidata,eletric_scrap,resource,discs,electronic,surveillance:type,surveillance:zone,bicycles,lastcheck,loc_name,opening_hours:office,brake_discs,brass,cables,concrete,gunmetal,lead,lead_acid_batteries,mineral_wool,sheets,stainless_steel,steel,ref:vatin,alt_name:pt,name:ast,name:short,name:zh-Hans,name:zh-Hant,population,population:date,source:name:br,foot,motorcar,motorcycle,locked,camera:mount,camera:type,maxwidth,entrance,horse,glass_related_recycling,electrical_related_recycling,metal_related_recycling,packaging_wastes,paper_wastes,plastic_wastes,organic_wastes,construction_wastes,hazardous/toxic
26209296,52.2240181,9.8365819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26209297,52.2245821,9.8443886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,
26287908,52.2258602,9.8386044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,
30324156,52.3053068,10.5186307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,
30324157,52.3094989,10.5171767,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,
30830730,52.820932,10.0805721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30996553,51.8097879,10.3592698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31012044,51.8078503,10.3311372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,
31012045,51.808918,10.3441958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,
31218987,52.8315346,10.1021063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
