id,lat,lon,cans,clothes,shoes,waste,textiles,beverage_cartons,todo,fee,car_batteries,collection_times,entrance,capacity,bulky_waste,office,music,gas_bottles,waste,curtains,duvet,payment:cryptocurrencies,payment:electronic_purses,tableware,phone2,non-ferrous,contact:facebook,trade,addr:postal,pmd,coffee_capsules,blankets,pillow,mobile,household_linen,data_media,lamps,led,tires,old_name,source:building,fluorescent_tubes,ground,special_waste,comment,cooking_oil,newspapers,alt_name:pt,name:sv,name:tzl,name:zh-Hans,name:zh-Hant,foot,motorcar,motorcycle,vehicle,maxheight,horse,maxwidth,emergency,glass_related_recycling,electrical_related_recycling,metal_related_recycling,packaging_wastes,paper_wastes,plastic_wastes,organic_wastes,construction_wastes,hazardous/toxic
28094222,51.5616872,12.9883556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
29165608,51.0330657,13.7397303,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,,no,,,,
70776617,51.0751749,13.0073782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70776623,51.0729139,13.0090828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76901755,50.8295347,12.8169661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109806175,51.0187981,13.7222897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,
139419876,51.020213,13.7165791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,
139428449,51.0213171,13.7176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,
139428654,51.0183921,13.7084859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,
139431216,51.0151181,13.698256,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,
141833011,51.0183846,13.7182491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,
143521384,51.0211974,13.7081011,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,
163960570,50.8978691,14.7540389,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
213681107,50.5932403,12.6443002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,
221793480,51.0148715,13.8461266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221800418,51.0188706,13.8418161,no,yes,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,no,no,yes,no,,,
