id,lat,lon,clothes,shoes,cans,count,beverage_cartons,waste,green,brown,support,gas_bottles,obstacle:parking,waste,capacity,collection_times,car_batteries,paint,drugs,addr:inclusion,building,pallets,industrial,alt_name:vi,contact:facebook,de:place,geographical_region,license_plate_code,name:als,name:ang,name:arc,name:ast,name:bar,name:bat-smg,name:be-tarask,name:bi,name:bo,name:cbk-zam,name:crh,name:csb,name:cu,name:da,name:diq,name:dsb,name:fo,name:frp,name:fur,name:haw,name:ht,name:id,name:ilo,name:jbo,name:jv,name:kab,name:ksh,name:ku,name:kv,name:kw,name:lb,name:lg,name:lij,name:lmo,name:ln,name:lzh,name:mg,name:myv,name:na,name:nah,name:nan,name:nap,name:nds,name:nn,name:no,name:nov,name:nrm,name:pam,name:pdc,name:pms,name:prefix:city,name:prefix:state,name:qu,name:rmy,name:roa-rup,name:roa-tara,name:sah,name:scn,name:sco,name:se,name:sh,name:short,name:so,name:stq,name:su,name:sv,name:tet,name:tg,name:tpi,name:ty,name:tzl,name:vec,name:vi,name:vls,name:wo,name:yue,name:zu,official_status,official_status:de,official_status:en,official_status:ru,old_name:vi,place,population,ref:nuts:2,ref:nuts:3,report_problems:website,source:population,state_code,entrance,source:addr,foot,motor_vehicle,horse,motorcar,motorcycle,glass_related_recycling,electrical_related_recycling,metal_related_recycling,packaging_wastes,paper_wastes,plastic_wastes,organic_wastes,construction_wastes,hazardous/toxic
304367352,52.5363044,13.1916504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
304367369,52.5457802,13.1435989,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305943442,52.5255155,13.3147389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
306456511,52.5037785,13.3038217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
309364526,52.4948,13.3285005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
309847736,52.4921591,13.2957832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
310440153,52.3949142,13.5852924,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
311090440,52.4970444,13.3051351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
311090625,52.4953753,13.308249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
311255499,52.5258812,13.3179542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
