id,lat,lon,station,state,glass_related_recycling,electrical_related_recycling,metal_related_recycling,packaging_wastes,paper_wastes,plastic_wastes,organic_wastes,construction_wastes,hazardous/toxic,textiles
246936797,54.0758829,12.0354081,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,yes
247805752,54.0893077,12.1041281,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,yes
254927686,53.352114,12.7202166,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,no
264695385,54.046126,14.003278,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,yes
269575694,54.5847801,13.11356,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,no
269577873,54.5692769,13.1088676,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,no
272082237,54.0746957,13.9232541,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,no
282306157,54.0526299,13.7595707,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,no
282306223,54.0515914,13.7599133,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,no
282306473,54.050664,13.7560529,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,no
282306510,54.0538003,13.7567678,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,no
282466197,54.0513335,13.1960799,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,no
282934796,53.3233962,11.0510186,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,yes
287132659,54.4355366,12.7060519,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,no
288206050,53.6139686,12.426271,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,no
288360518,54.0794586,12.10735,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,yes
288365184,54.0859657,12.089002,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,no
288365185,54.0856276,12.0881046,recycling centres,Mecklenburg-Vorpommern,no,no,no,no,no,no,no,no,no,yes
