id,lat,lon,clothes,shoes,cans,waste,rubbish:source,cars,fee,internet_access,payment:mastercard,payment:visa,cooking_oil,clothes,shoes,collection_times,gas_bottles,steel,stone,beverage_cartons,waste,textiles,addr:district,addr:state,payment:coins,default,industrial,building_waste,concrete,bulky_waste,name:ne,official_name:eo,ref:nuts:2,odbl,foot,maxwidth,motorcar,glass_related_recycling,electrical_related_recycling,metal_related_recycling,packaging_wastes,paper_wastes,plastic_wastes,organic_wastes,construction_wastes
267415373,50.6834541,10.9139547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,yes,,
267831110,50.896941,11.5764811,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,
267874011,50.8912196,11.5806298,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,
268048075,50.6812191,10.9337907,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,yes,,,
268051695,50.6829368,10.93242,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,
268084691,50.958722,10.9824785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,
269198910,50.5295671,10.5372246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269213651,50.9231842,11.5943318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,
269214006,50.8968991,11.5915953,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,,
269474742,50.6567197,10.9409586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269478172,50.6682839,10.967945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,
269480662,50.9372819,11.5847743,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,
269907323,50.6852854,10.9187378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,yes,,
270979412,50.6735801,10.9679128,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,
271155052,50.7785355,10.7730579,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,
271283563,50.928119,11.579034,yes,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,no,no,,
271424306,50.9001241,12.0851257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271424307,50.9004829,12.0846109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271424309,50.9001145,12.0805905,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,
271424311,50.8968135,12.0814468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271424314,50.8891595,12.0860829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271424316,50.8853048,12.0848308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,
271424319,50.8825702,12.0928929,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,
271757694,50.9518843,11.6119151,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,
271797794,50.8677545,11.5980228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271812900,50.8905599,12.0829694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272066536,50.9161035,11.5758589,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,
272240450,50.6722121,10.9838703,yes,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,no,no,,
