id,lat,lon,station,state,glass_related_recycling,electrical_related_recycling,metal_related_recycling,packaging_wastes,paper_wastes,plastic_wastes,organic_wastes,construction_wastes,hazardous/toxic,textiles
29051703,49.0136073,8.2562026,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,yes
29059288,49.5315691,8.1442032,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
29542813,49.0338513,8.2787387,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,yes
29862965,49.0388544,8.2898309,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,yes
30206619,49.6279458,8.3601991,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
30207021,49.6322544,8.3723493,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
30207407,49.630221,8.3713359,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
30426386,49.9573485,7.8594294,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,yes
78260102,49.7704303,6.6813207,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
87201391,49.4979704,8.2829302,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
95523681,49.8704389,8.3442717,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
156776125,49.7111997,6.7955468,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
156776450,49.7163742,6.7902019,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
203575668,49.7469453,6.632924,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
206262354,49.7519203,6.6321734,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
218216168,49.7439929,6.8092972,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
241872555,49.7272784,6.7644765,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
243010867,49.7503247,6.8919938,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
243050661,49.7380555,6.8503987,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
245394836,49.766064,6.7418714,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
246522902,49.7527528,6.6809261,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
246550955,49.6767894,6.8708551,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
246558840,49.6839786,6.8717978,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
247329103,49.7585394,6.6806886,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
247357730,49.7538394,6.6801581,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
247357768,49.7538258,6.6801594,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,yes
251869304,49.8481887,8.1703491,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
252149506,49.8464705,8.1789854,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
254941364,50.5804173,7.2206849,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
258036772,49.6893572,6.7608307,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
258158856,49.7675772,6.663841,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
259194861,49.7338928,6.639069,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
259199284,49.7292749,6.6425658,recycling centres,Rhineland-Palatinate,no,no,no,no,no,no,no,no,no,no
