clothes,shoes,id,lat,lon,cans,operator:clothes,ref:signed,waste,noref,seasonal,support,alt_name:ca,alt_name:cs,ref:nuts:2,entrance,gate:type,glass_related_recycling,electrical_related_recycling,metal_related_recycling,packaging_wastes,paper_wastes,plastic_wastes,organic_wastes
yes,yes,252132998,49.2274154,6.8842013,,,,,,,,,,,,,yes,,,,yes,,
yes,,252140617,49.2356682,6.9018972,,,,,,,,,,,,,yes,,,,yes,,
,,252307138,49.2387408,6.9116365,,,,,,,,,,,,,,,,,,,
,,253777137,49.1323975,7.1445528,,,,,,,,,,,,,yes,,,,yes,,
,,254400594,49.2341091,6.9178389,,,,,,,,,,,,,yes,,,,yes,,
,,254456856,49.2397978,6.9016609,,,,,,,,,,,,,yes,,,,yes,,
,,254974011,49.2576507,6.9218777,,,,,,,,,,,,,,,,,,,
yes,,254983798,49.223449,6.8872335,,,,,,,,,,,,,,,,,,,
,,257104191,49.2816183,7.0384139,,,,,,,,,,,,,yes,,,,yes,,
yes,,257945802,49.2294945,6.904759,,,,,,,,,,,,,yes,,,,yes,,
,,258856813,49.2315886,6.9095708,,,,,,,,,,,,,,,,,,,
,,261649831,49.2448163,6.903553,,,,,,,,,,,,,,,,,,,
,,261650403,49.2409374,6.8906334,,,,,,,,,,,,,,,,,,,
yes,,262211033,49.2310574,6.9235232,,,,,,,,,,,,,yes,,,,yes,,
,,262377489,49.2400592,6.9030749,,,,,,,,,,,,,,,,,,,
,,262703219,49.4163869,6.8394589,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,263043620,49.2446152,6.9568549,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,263878076,49.2526222,6.9608155,,,,,,,,,,,,,yes,,,,,,
,,264020590,49.2260352,6.9001152,,,,,,,,,,,,,yes,,,,,,
yes,,264551596,49.4213961,6.8303847,,,,,,,,,,,,,yes,,,,yes,,
,,264767448,49.2398092,6.9100564,,,,,,,,,,,,,,,,,,,
yes,yes,266204333,49.2369901,6.9283027,,,,,,,,,,,,,yes,,,,,,
,,266207749,49.2444495,6.9507015,,,,,,,,,,,,,yes,,,,yes,,
,,266883244,49.3415567,6.6726776,,,,,,,,,,,,,yes,,,,yes,,
,,267667475,49.2213389,6.8086307,,,,,,,,,,,,,yes,,,,,,
,,269577284,49.2358546,6.8726626,,,,,,,,,,,,,yes,,,,,,
,,270286102,49.2239847,6.8139841,,,,,,,,,,,,,yes,,,,,,
