id,lat,lon,cans,clothes,shoes,waste,capacity,used_fat,beverage_cartons,cooking_oil,clothes:operator,collection_times,drugs,bulky_waste,residual_waste,aerosol_cans,textiles,clothes,waste,gas_bottles,operator:clothes,fee,paint,car_batteries,bin,aluminium_cans,industrial,duvet,ground_transport,tin_cans,aerosols,automotive_batteries,lamps,landfill:class,landfill:waste,bicycles,composites,others,bags,candle_wax,energy_waste,special_waste,glass_related_recycling,electrical_related_recycling,metal_related_recycling,packaging_wastes,paper_wastes,plastic_wastes,organic_wastes,construction_wastes,hazardous/toxic
25916382,49.7076943,10.8616996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26371241,49.6849792,10.8798751,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
26584875,48.4625486,11.828062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26629845,49.603979,11.1363368,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,yes,,,
26685048,49.94876,11.5563013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26685050,49.9488602,11.574815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,
26939823,49.9487369,11.5523072,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,yes,,,,
27157744,48.4537953,11.6525186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27313199,50.0141287,9.0641732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27313274,49.9967125,9.0702344,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
27313275,49.9993464,9.0769945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27446673,50.0055974,9.0553324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27561550,48.4478851,11.7667939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
