id,lat,lon,station,state,glass_related_recycling,electrical_related_recycling,metal_related_recycling,packaging_wastes,paper_wastes,plastic_wastes,organic_wastes,construction_wastes,hazardous/toxic,textiles
33116912,53.9667194,9.1469997,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,no
106002747,53.725326,10.2595046,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
166879101,54.5584394,9.0904893,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,no
223938611,54.3248985,10.054861,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
241961486,54.3165928,10.0275609,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
251001822,53.7083942,10.0077457,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
251113722,53.7035026,10.0074204,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,no
251893176,53.57878,9.7124038,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
256592542,53.576904,9.7078962,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
260742739,54.1047627,10.8362268,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,no
262407881,53.8986087,10.7452292,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
262407926,53.9007953,10.7436352,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
262891488,53.5025403,10.350555,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
265720117,53.5799564,9.7283207,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,no
267957374,54.2818557,10.1963569,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,no
267957452,54.2846181,10.1979799,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
273119869,53.4685005,10.2795721,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
273119955,53.4700538,10.2787843,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
273120028,53.4774024,10.2850921,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,no
273120123,53.4862128,10.2921406,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
273889168,53.5982917,9.8492773,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,no
274577732,54.6832078,9.3320306,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,no
274956809,53.4161098,10.5830995,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
276906199,53.7332975,9.6691193,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
277234623,53.7378305,9.6513346,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,yes
277247072,54.7050481,9.7748479,recycling centres,Schleswig-Holstein,no,no,no,no,no,no,no,no,no,no
