,id,state,station,cluster_lon,cluster_lat,cluster_ID
6637,167062792,Bremen,recycling centres,8.381294627908128,53.19501156504641,7
6964,28389876,Brandenburg,recycling centres,11.795811613916165,52.57300881425293,6
6967,52225421,Brandenburg,recycling centres,13.44848632478342,52.46120592609044,8
6979,265835612,Brandenburg,recycling centres,13.904969530188918,51.177531437376445,0
7130,391525132,Brandenburg,recycling centres,12.775607350102709,53.91389366968124,19
10781,16257528,Baden-Wurttemberg,recycling centres,8.668270577761904,50.03369658586831,10
10782,21480324,Baden-Wurttemberg,recycling centres,9.048512343729248,48.91013153920207,1
10789,24977411,Baden-Wurttemberg,recycling centres,8.356381289937735,48.05191493482526,12
10899,29181883,Baden-Wurttemberg,recycling centres,10.35755891904163,48.14371831955732,11
11413,283051062,Baden-Wurttemberg,recycling centres,10.982446093975044,49.58960393316929,4
18240,28094222,Saxony,recycling centres,12.471177432548869,51.0802914740169,18
18785,374401302,Saxony,recycling centres,11.20368511142486,50.65522787188264,9
21944,252132998,Saarland,recycling centres,7.15236968692417,49.48908577291035,14
22944,26066489,North Rhine-Westphalia,recycling centres,7.074458684873546,51.434659974542015,20
22953,32435234,North Rhine-Westphalia,recycling centres,8.366427344287933,51.985749539445855,15
22991,34822970,North Rhine-Westphalia,recycling centres,7.02771948641905,50.76873986986014,3
23656,291030631,North Rhine-Westphalia,recycling centres,9.507917967406478,51.09074883447402,13
33177,9365281766,North Rhine-Westphalia,recycling centres,10.27404944451627,52.22771122054939,2
39503,119611957,Lower Saxony,recycling centres,10.299055239386108,53.593077649859,17
40332,340384778,Lower Saxony,recycling centres,9.678873869741295,54.338817150449614,16
56808,26584875,Bavaria,recycling centres,11.98522882399184,48.344064486416826,5
