,id,state,station,cluster_lon,cluster_lat,cluster_ID
0,291220769,Hesse,waste disposal centres,10.00232425803877,49.92933139978089,19
1,322806282,Hesse,waste disposal centres,8.449278073578927,50.16750988871538,11
2,419842535,Hesse,waste disposal centres,9.596176071743034,51.362394826810245,18
68,6324073766,Hesse,waste disposal centres,8.791884063738676,48.99865732634104,7
187,34659496,Lower Saxony,waste disposal centres,10.07893481020942,52.335514462757125,5
192,418904572,Lower Saxony,waste disposal centres,8.20455455002058,51.96139977074424,13
193,472318025,Lower Saxony,waste disposal centres,8.186001191757315,53.28279122778181,8
197,1779463361,Lower Saxony,waste disposal centres,10.085158645028857,53.40178037429734,10
498,740873063,Rhineland-Palatinate,waste disposal centres,7.020720702374211,50.77347820533791,1
508,2449089574,Rhineland-Palatinate,waste disposal centres,7.016331706998805,49.45822334842397,16
616,335776642,Mecklenburg-Vorpommern,waste disposal centres,12.562315881550171,53.94554023622133,4
633,2400290273,Mecklenburg-Vorpommern,waste disposal centres,13.399270005584876,52.517022433392285,2
844,246574149,Saxony-Anhalt,waste disposal centres,12.50192412887955,41.88111884755079,0
854,247849163,Saxony,waste disposal centres,13.892779978905637,51.18937368152363,6
859,388190382,Saxony,waste disposal centres,12.497449147478529,51.18479458968907,12
2045,30911677,North Rhine-Westphalia,waste disposal centres,7.038255711857481,51.375178206902376,14
2559,303910169,Baden-Wurttemberg,waste disposal centres,8.484983993624496,47.97161050482772,15
2560,309965669,Baden-Wurttemberg,waste disposal centres,10.491565163665252,48.17796288312126,3
2889,271311098,Bavaria,waste disposal centres,11.203966342102865,49.65651818137503,9
2891,296160311,Bavaria,waste disposal centres,11.813159475717155,48.28211346600266,17
