GENESIS-Tabelle: 32136-0003
Erfasste Verkaufsverpackungen von privaten Endverbrauchern:;;;;
Deutschland, Jahre, Rücknahmearten, Art der;;;;
Verkaufsverpackungen;;;;
Erhebung über zurückgenommene Verkaufsverpackungen;;;;
Deutschland;;;;
Erfasste Verkaufsverpack. v. priv. Endverbrauchern (1000 t);;;;
;;Rücknahmearten;Rücknahmearten;Rücknahmearten
;;Branchenlösungen;Systembetreiber;Insgesamt
2010;Gemischte Verpackungen;183,4;2261,9;2445,3
2010;Verpackungen aus Papier, Pappe, Karton;350,6;843,2;1193,8
2010;Gemischtes Glas (Bunt-, Mischglas);75,5;187,7;263,1
2010;Farblich getrennt gesammeltes Glas;4,9;1718,1;1723,0
2010;Getrennt gesammelte Kunststoffe;66,7;26,0;92,8
2010;Getrennt gesammelte Metalle;20,2;25,9;46,1
2010;Getrennt gesammelte Verbunde;6,6;1,9;8,5
2010;Insgesamt;707,9;5064,7;5772,6
2011;Gemischte Verpackungen;263,1;2235,5;2498,6
2011;Verpackungen aus Papier, Pappe, Karton;356,4;895,5;1252,0
2011;Gemischtes Glas (Bunt-, Mischglas);87,5;158,1;245,6
2011;Farblich getrennt gesammeltes Glas;17,5;1768,2;1785,7
2011;Getrennt gesammelte Kunststoffe;63,2;18,5;81,7
2011;Getrennt gesammelte Metalle;19,8;23,2;43,0
2011;Getrennt gesammelte Verbunde;3,1;3,3;6,4
2011;Insgesamt;810,8;5102,2;5913,0
2012;Gemischte Verpackungen;298,2;2413,4;2711,6
2012;Verpackungen aus Papier, Pappe, Karton;356,3;851,7;1208,0
2012;Gemischtes Glas (Bunt-, Mischglas);75,9;169,4;245,4
2012;Farblich getrennt gesammeltes Glas;14,8;1740,3;1755,1
2012;Getrennt gesammelte Kunststoffe;67,4;19,1;86,5
2012;Getrennt gesammelte Metalle;17,3;22,3;39,7
2012;Getrennt gesammelte Verbunde;2,4;3,2;5,6
2012;Insgesamt;832,4;5219,4;6051,9
2013;Gemischte Verpackungen;369,5;2506,4;2875,9
2013;Verpackungen aus Papier, Pappe, Karton;415,1;899,4;1314,4
2013;Gemischtes Glas (Bunt-, Mischglas);71,8;178,9;250,7
2013;Farblich getrennt gesammeltes Glas;15,2;1821,1;1836,3
2013;Getrennt gesammelte Kunststoffe;51,7;15,6;67,3
2013;Getrennt gesammelte Metalle;11,7;20,8;32,5
2013;Getrennt gesammelte Verbunde;2,3;2,7;4,9
2013;Insgesamt;937,3;5445,0;6382,2
2014;Gemischte Verpackungen;371,1;2538,3;2909,4
2014;Verpackungen aus Papier, Pappe, Karton;442,3;865,6;1307,9
2014;Gemischtes Glas (Bunt-, Mischglas);82,8;170,0;252,9
2014;Farblich getrennt gesammeltes Glas;13,3;1779,4;1792,6
2014;Getrennt gesammelte Kunststoffe;56,3;15,7;72,0
2014;Getrennt gesammelte Metalle;13,8;21,0;34,8
2014;Getrennt gesammelte Verbunde;2,4;2,7;5,1
2014;Insgesamt;981,9;5392,7;6374,6
2015;Gemischte Verpackungen;10,6;2512,9;2523,5
2015;Verpackungen aus Papier, Pappe, Karton;41,2;1105,3;1146,5
2015;Gemischtes Glas (Bunt-, Mischglas);.;.;164,9
2015;Farblich getrennt gesammeltes Glas;.;.;1716,9
2015;Getrennt gesammelte Kunststoffe;6,4;16,0;22,4
2015;Getrennt gesammelte Metalle;1,8;18,3;20,1
2015;Getrennt gesammelte Verbunde;1,6;2,6;4,2
2015;Insgesamt;61,7;5536,8;5598,5
2016;Gemischte Verpackungen;9,1;2559,9;2569,0
2016;Verpackungen aus Papier, Pappe, Karton;44,9;1107,5;1152,4
2016;Gemischtes Glas (Bunt-, Mischglas);-;164,8;164,8
2016;Farblich getrennt gesammeltes Glas;.;.;1715,1
2016;Getrennt gesammelte Kunststoffe;7,9;15,5;23,4
2016;Getrennt gesammelte Metalle;1,9;18,2;20,1
2016;Getrennt gesammelte Verbunde;.;.;2,6
2016;Insgesamt;64,7;5582,6;5647,3
2017;Gemischte Verpackungen;7,8;2567,7;2575,5
2017;Verpackungen aus Papier, Pappe, Karton;46,1;1153,4;1199,6
2017;Gemischtes Glas (Bunt-, Mischglas);-;156,1;156,1
2017;Farblich getrennt gesammeltes Glas;.;.;1719,1
2017;Getrennt gesammelte Kunststoffe;6,9;15,3;22,2
2017;Getrennt gesammelte Metalle;1,8;17,7;19,5
2017;Getrennt gesammelte Verbunde;.;.;2,6
2017;Insgesamt;63,8;5630,7;5694,5
2018;Gemischte Verpackungen;8,2;2507,4;2515,6
2018;Verpackungen aus Papier, Pappe, Karton;44,6;1249,7;1294,3
2018;Gemischtes Glas (Bunt-, Mischglas);-;154,7;154,7
2018;Farblich getrennt gesammeltes Glas;.;.;1664,3
2018;Getrennt gesammelte Kunststoffe;6,2;15,0;21,2
2018;Getrennt gesammelte Metalle;1,8;13,9;15,7
2018;Getrennt gesammelte Verbunde;.;.;2,3
2018;Insgesamt;62,1;5606,0;5668,2
2019;Gemischte Verpackungen;.;.;2639,5
2019;Verpackungen aus Papier, Pappe, Karton;29,9;1347,6;1377,5
2019;Gemischtes Glas (Bunt-, Mischglas);-;163,9;163,9
2019;Farblich getrennt gesammeltes Glas;.;.;1734,6
2019;Getrennt gesammelte Kunststoffe;2,2;13,8;16,0
2019;Getrennt gesammelte Metalle;0,0;16,4;16,5
2019;Getrennt gesammelte Verbunde;-;1,9;1,9
2019;Insgesamt;39,3;5910,5;5949,8
2020;Gemischte Verpackungen;.;.;2686,3
2020;Verpackungen aus Papier, Pappe, Karton;19,6;1660,1;1679,7
2020;Gemischtes Glas (Bunt-, Mischglas);-;162,8;162,8
2020;Farblich getrennt gesammeltes Glas;-;1943,4;1943,4
2020;Getrennt gesammelte Kunststoffe;0,9;12,8;13,7
2020;Getrennt gesammelte Metalle;.;.;15,5
2020;Getrennt gesammelte Verbunde;-;1,5;1,5
2020;Insgesamt;25,3;6477,7;6503,0
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 30.08.2023 / 20:48:03
