GENESIS-Tabelle: 32136-0001
Unternehmen, Erfasste Verkaufsverpackungen von privaten;;;;;;;;;;;;
Endverbrauchern, Verkaufsverpackungen nach der Sortierung:;;;;;;;;;;;;
Deutschland, Jahre;;;;;;;;;;;;
Erhebung über zurückgenommene Verkaufsverpackungen;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Unternehmen;Anzahl;40;41;41;41;42;32;32;28;21;20;16
Erfasste Verkaufsverpack. v. priv. Endverbrauchern;1000 t;5772,6;5913,0;6051,9;6382,2;6374,6;5598,5;5647,3;5694,5;5668,2;5949,8;6503,0
Erf. Verkaufsverpack. v. priv. Endverbr. je Einw.;kg;71;74;75;79;79;68;68;69;68;72;78
Verkaufsverpackungen nach der Sortierung;1000 t;5693,9;5711,0;5856,8;6196,6;6063,7;5518,4;5450,9;5391,8;5403,9;5635,2;6436,0
Abgabe von Verkaufsverp. n.d. Sort. an das Ausland;1000 t;326,1;363,5;378,4;325,8;320,7;313,0;335,7;352,7;360,9;472,0;568,5
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 30.08.2023 / 20:43:04
